개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,분류
별곡지구 생활체육공원,별곡지구 생활체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,,충청북도 단양군 단양읍 별곡리 117,충청북도 단양군청,,,,36.991918,128.362335,2021-03-18,단양군
적성체육공원,적성체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,충청북도 단양군 적성면 적성로 232-20,,충청북도 단양군청,,,,37.022326,128.285531,2021-03-18,단양군
덕산읍사무소 대회의실,덕산읍사무소,회의실,"매주 토,일요일",9:00,21:00,0:00,0:00,N,,0,,,200,307,책상20개+의자150개,방문,,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용몽리 637,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.91366434,127.5090894,2021-03-09,진천군
덕산혁신도시출장소 대회의실,덕산혁신도시출장소,회의실,"공휴일, 매주 토,일요일",9:00,18:00,0:00,0:00,N,,0,,,150,273.6,책상20개+의자120개,"방문,전화",,충청북도 진천군 덕산읍 연미로 27,충청북도 진천군 덕산읍 두촌리 2849,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.89885882,127.529346,2021-03-09,진천군
초평면사무소 회의실,초평면사무소,회의실,"공휴일, 매주 토ㆍ일요일",9:00,18:00,0:00,0:00,N,,,,,130,188.43,"빔프로젝트 1대, 책상 14개, 의자 140개, 마이크 3개",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84566246,127.526406,2021-03-09,진천군
초평면사무소 탁구장,초평면사무소,기타,"공휴일, 매주 토ㆍ일요일",9:00,21:00,9:00,18:00,N,,,,,20,181.82,"탁구대 4대, 자동연습기 1대, 탁구공",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84568732,127.5263866,2021-03-09,진천군
초평면사무소 건강관리실,초평면사무소,기타,"공휴일, 매주 토ㆍ일요일",9:00,21:00,9:00,18:00,N,,,,,10,42.98,"러닝머신 3대, 사이클 3대, 종합운동기구 3대, 안마기 1대, 찜질기 1대",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84568045,127.5264117,2021-03-09,진천군
문백면사무소 체력단련실,문백면사무소,기타,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,10,148,"런닝머신, 고정식 자전거 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78420623,127.4371584,2021-03-09,진천군
문백면사무소 다목적실,문백면사무소,다목적실,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,30,134,"TV, 노래방기계 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78423092,127.437181,2021-03-09,진천군
문백면사무소 소회의실,문백면사무소,회의실,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,40,121,"탁자, 의자, 빔프로젝트 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78427139,127.4372036,2021-03-09,진천군
백곡면사무소 회의실,백곡면사무소,회의실,연중무휴,9:00,18:00,9:00,18:00,N,,0,,,50,132,"빔프로젝트 1대, 책상 20개, 의자 100개, 마이크 3개",방문.전화,,충청북도 진천군 백곡면 장터길 15-10,충청북도 진천군 백곡면 석현리 293,백곡면,총무팀,043-539-8584,http://www.jincheon.go.kr/home/sub.do?menukey=369,36.88370277,127.3768457,2021-03-09,진천군
백곡면문화복지센터,백곡면문화복지센터,다목적실,연중무휴,9:00,18:00,9:00,18:00,N,,0,,,100,474,"책상, 의자, 냉난방",방문.전화,,충청북도 진천군 백곡면 백곡로 904,충청북도 진천군 백곡면 석현리 269,백곡면,총무팀,043-539-8584,,36.8826851,127.3761897,2021-03-09,진천군
백곡면사무소 체력단련실,백곡면사무소,기타,"일요일, 공휴일",10:00,20:00,10:00,17:00,N,,0,,,10,61.38,"런닝머신3, 싸이클2, 근력운동기구4, 탁구대1, 허리안마기1",방문,,충청북도 진천군 백곡면 장터길 15-10,충청북도 진천군 백곡면 석현리 293,백곡면,총무팀,043-539-8584,http://www.jincheon.go.kr/home/sub.do?menukey=369,36.88371183,127.3768317,2021-03-09,진천군
백곡생활체육공원,백곡생활체육공원,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,N,,0,,,50,1468,"체육시설(게이트볼장, 풋살장, 주차장), 운동기구 등",방문.전화,,충청북도 진천군 백곡면 백곡로 904-1,충청북도 진천군 백곡면 석현리 265,백곡면,주민생활팀,043-539-8603,http://www.jincheon.go.kr/,36.88234824,127.3763371,2021-03-09,진천군
화풍이월체육공원,화풍이월체육공원,다목적경기장,연중무휴,0:00,0:00,0:00,0:00,N,,,,,300,12415,"체육시설(그라운드골프장, 게이트볼장, 풋살장, 족구장, 어린이놀이터, 야외무대, 주차장, 인라인도로), 운동기구 등",,,충청북도 진천군 이월면 진광로 821,충청북도 진천군 이월면 송림리 377-5,이월면,주민생활팀,043-539-8663,,36.93358808,127.4296562,2021-03-09,진천군
소회의실,이월면행정복지센터,회의실,주말,9:00,17:00,0:00,0:00,N,,,,,50,,회의실,,,충청북도 진천군 이월면 진광로 729,충청북도 진천군 이월면 노원리 683-4,이월면,총무팀,043-539-8643,,36.92537054,127.4289338,2021-03-09,진천군
대회의실,이월면행정복지센터,회의실,주말,9:00,17:00,0:00,0:00,N,,,,,150,,회의실,,,충청북도 진천군 이월면 진광로 729,충청북도 진천군 이월면 노원리 683-4,이월면,총무팀,043-539-8643,,36.92537737,127.4289142,2021-03-09,진천군
체력단련실,이월면행정복지센터,기타,연중무휴,9:00,17:40,9:00,17:40,N,,,,,10,,체육시설,,,충청북도 진천군 이월면 진광로 729,충청북도 진천군 이월면 노원리 683-4,이월면,총무팀,043-539-8643,,36.925375,127.4289451,2021-03-09,진천군
광혜원면사무소 건강관리실,광혜원면사무소,기타,"매주 토요일 및 일요일, 공휴일",9:00,22:00,0:00,0:00,Y,,20000,,,150,234,"런닝머신, 바벨, 싸이클 등 20종, 샤워실 등",방문.전화,,충청북도 진천군 광혜원면 화랑길 86,충청북도 진천군 광혜원면 광혜원리 542-10,광혜원면,,043-539-8710,,36.9934701,127.4355661,2021-03-09,진천군
광혜원면사무소 웨딩홀,광혜원면사무소,기타,연중무휴,9:00,18:00,9:00,18:00,N,,0,,,150,339.3,"신부대기실, 폐백실, 방송실, 접수대, 단상, 의자 120개 등",방문.전화,,충청북도 진천군 광혜원면 화랑길 86,충청북도 진천군 광혜원면 광혜원리 542-10,광혜원면,총무팀,043-539-8723,,36.9934701,127.4355661,2021-03-09,진천군
광혜원면사무소 소회의실,광혜원면사무소,회의실,연중무휴,9:00,18:00,9:00,18:00,N,,0,,,40,117,"빔프로젝터, 책상, 의자 40개, 방송실",방문.전화,,충청북도 진천군 광혜원면 화랑길 86,충청북도 진천군 광혜원면 광혜원리 542-10,광혜원면,총무팀,043-539-8722,,36.9934701,127.4355661,2021-03-09,진천군
광혜원면사무소 대회의실,광혜원면사무소,회의실,연중무휴,9:00,18:00,9:00,18:00,N,,0,,,150,339.3,"빔프로젝터, 의자 120개, 방송실",방문.전화,,충청북도 진천군 광혜원면 화랑길 86,충청북도 진천군 광혜원면 광혜원리 542-10,광혜원면,총무팀,043-539-8722,,36.9934701,127.4355661,2021-03-09,진천군
3층 소극장,생거진천 종합사회 복지관,강의실,공휴일,9:00,22:00,9:00,18:00,Y,2,50000,1,20000,288,427.5,"조명, 빔프로젝트, 냉난방","방문, 팩스",,충청북도 진천군 진천읍 중앙북1길 11-10,충청북도 진천군 진천읍 벽암리 570-1,충청북도 진천군청,주민복지과,043-539-3237,http://www.jincheon.go.kr/site/welfare/sub.do?menukey=1017,36.86107039,127.439435,2021-03-09,진천군
1층 다목적실,생거진천 종합사회 복지관,다목적실,공휴일,9:00,22:00,9:00,18:00,Y,2,30000,1,20000,150,348.3,"조명, 빔프로젝트, 냉난방","방문, 팩스",,충청북도 진천군 진천읍 중앙북1길 11-10,충청북도 진천군 진천읍 벽암리 570-1,충청북도 진천군청,주민복지과,043-539-3237,http://www.jincheon.go.kr/site/welfare/sub.do?menukey=1017,36.86107039,127.439435,2021-03-09,진천군
화랑관 다목적경기장(개인 이용),화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,2,1000,2,1000,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84992746,127.4400944,2021-03-09,진천군
화랑관 다목적경기장(20인 이상 단체 이용),화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,2,500,2,500,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84955177,127.440136,2021-03-09,진천군
화랑관 다목적경기장(체육경기/평일),화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,9,30000,4,45000,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84955177,127.440136,2021-03-09,진천군
화랑관 다목적경기장(체육경기/토요일 및 공휴일),화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,9,45000,4,60000,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84955177,127.440136,2021-03-09,진천군
"화랑관 다목적경기장(체육경기 외, 무대 포함/평일)",화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,9,65000,4,90000,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84955177,127.440136,2021-03-09,진천군
"화랑관 다목적경기장(체육경기 외, 무대 포함/토요일 및 공휴일)",화랑관,다목적경기장,공휴일,9:00,18:00,9:00,18:00,Y,9,90000,4,130000,1561,4967,"음향, 냉난방",방문,,충청북도 진천군 진천읍 문화로 69-4,충청북도 진천군 진천읍 교성리 108,충청북도 진천군청,체육진흥지원단,043-539-7692,,36.84955177,127.440136,2021-03-09,진천군
진천읍사무소,대회의실,회의실,"주말, 공휴일",9:00,18:00,0:00,0:00,N,2,0,,,150,330.579,,,,충청북도 진천군 진천읍 상산로 65,충청북도 진천군 진천읍 읍내리 370-1,진천읍사무소,총무팀,043-539-8303,,36.85471781,127.4413385,2021-03-09,진천군
진천읍사무소,중회의실,회의실,"주말, 공휴일",9:00,18:00,0:00,0:00,N,2,0,,,60,198.347,,,,충청북도 진천군 진천읍 상산로 65,충청북도 진천군 진천읍 읍내리 370-1,진천읍사무소,총무팀,043-539-8303,,36.85471781,127.4413385,2021-03-09,진천군
진천읍사무소,소회의실,회의실,"주말, 공휴일",9:00,18:00,0:00,0:00,N,2,0,,,50,132.231,,,,충청북도 진천군 진천읍 상산로 65,충청북도 진천군 진천읍 읍내리 370-1,진천읍사무소,총무팀,043-539-8303,,36.85471781,127.4413385,2021-03-09,진천군
덕산읍사무소 체력단련실,덕산읍사무소,기타,"공휴일,매주 일요일,둘째 넷째 토요일",6:00,22:00,6:00,17:00,Y,,20000,,,30,243,운동기구+샤워장+탈의실,방문,,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용몽리 637,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.9136321,127.509344,2021-03-09,진천군
덕산읍사무소 탁구장,덕산읍사무소,기타,"매주 토,일요일",9:00,22:30,0:00,0:00,N,,0,,,20,81,탁구대,방문,,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용몽리 637,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.9136321,127.509344,2021-03-09,진천군
덕산읍사무소 소회의실,덕산읍사무소,회의실,"매주 토,일요일",9:00,21:00,0:00,0:00,N,,0,,,30,50,책상3개+의자20개,방문,,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용몽리 637,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.9136321,127.509344,2021-03-09,진천군
다목적실,옥천군민도서관,다목적실,매주월요일+국가지정공휴일,9:00,18:00,9:00,18:00,Y,4,"(평일)30,000+(주말)36,000",1,,100,182,빔프로젝트+무선마이크+냉난방시설,인터넷+방문,,충청북도 옥천군 옥천읍 관성로4길 10,,옥천군평생학습원,도서관운영팀,043-730-3614,http://lib.oc.go.kr/,36.300464,127.574963,2021-03-08,옥천군
옥천군청소년수련관 별관 강당,옥천군청소년수련관,강당,매주 월요일,9:00,22:00,9:00,18:00,N,,N,,,150,,빔프로젝터+음향시스템,방문,,충청북도 옥천군 옥천읍 동부로 39-2,,충청북도 옥천군,평생학습원,043-730-4982,,36.30692111,127.5768265,2021-03-08,옥천군
옥천군청소년수련관 실내체육관,옥천군청소년수련관,체육관,매주 월요일,9:00,22:00,9:00,18:00,N,,N,,,10,,,방문,,충청북도 옥천군 옥천읍 동부로 39,,충청북도 옥천군,평생학습원,043-730-4982,,36.30665104,127.5767667,2021-03-08,옥천군
옥천군청소년수련관 야외인라인장,옥천군청소년수련관,기타,매주 월요일,9:00,22:00,9:00,18:00,N,,N,,,20,,,방문,,충청북도 옥천군 옥천읍 동부로 39,,충청북도 옥천군,평생학습원,043-730-4982,,36.30665104,127.5767667,2021-03-08,옥천군
옥천 공설테니스장,옥천 공설테니스장,테니스장,없음,9:00,21:00,9:00,21:00,N,,,,,50,3366,,"방문,전화",,충청북도 옥천군 옥천읍 관성로 53,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30307261,127.5758051,2021-03-08,옥천군
옥천읍테니스장,옥천읍테니스장,테니스장,없음,9:00,18:00,9:00,18:00,N,,,,,40,2664,,"방문,전화",,충청북도 옥천군 옥천읍 동부로 15,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30657124,127.5746239,2021-03-08,옥천군
관성정,관성정,기타,없음,9:00,18:00,9:00,18:00,N,,,,,50,11688,,"방문,전화",,충청북도 옥천군 군서면 성왕로 908-13,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30062429,127.5444138,2021-03-08,옥천군
청산정,청산정,기타,없음,9:00,18:00,9:00,18:00,N,,,,,50,14645,,"방문,전화",,충청북도 옥천군 청산면 남부로 2460,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.33674287,127.7671853,2021-03-08,옥천군
옥천 공설 그라운드 골프장,옥천 공설 그라운드 골프장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,50,2000,,"방문,전화",,충청북도 옥천군 옥천읍 동부로 41,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30585802,127.579001,2021-03-08,옥천군
옥천 문정리 그라운드 골프장,옥천 문정리 그라운드 골프장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,50,1800,,"방문,전화",,충청북도 옥천군 옥천읍 문정1길 37,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.3040169,127.5750861,2021-03-08,옥천군
옥천 공설 다목적구장,옥천 공설 다목적구장,다목적경기장,없음,9:00,18:00,9:00,18:00,N,,,,,50,2600,,"방문,전화",,충청북도 옥천군 옥천읍 동부로 41,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30585802,127.579001,2021-03-08,옥천군
서정리 족구장,서정리 족구장,족구장,없음,9:00,18:00,9:00,18:00,N,,,,,40,3030,,"방문,전화",,,충청북도 옥천군 옥천읍 서정리 41-5,충청북도 옥천군,체육시설사업소,043-730-4882,,36.3121538,127.5575956,2021-03-08,옥천군
옥천 상계 체육시설,옥천 상계 체육시설,체육관,없음,9:00,21:00,9:00,21:00,N,,,,,200,13018,"족구, 농구, 게이트볼, 그라운드골프","방문,전화",,충청북도 옥천군 옥천읍 매동로 209,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.31879887,127.5827091,2021-03-08,옥천군
옥천국민체육센터_수영장,옥천국민체육센터,기타,"월, 법정공휴일",6:00,21:00,6:00,17:00,Y,3,50000,,,200,991,,방문,,충청북도 옥천군 옥천읍 동부로 39-1,,충청북도 옥천군,체육시설사업소,043-730-4975,www.oc.go.kr,36.30626654,127.5780108,2021-03-08,옥천군
옥천국민체육센터_헬스장,옥천국민체육센터,기타,"월, 법정공휴일",6:00,21:00,6:00,17:00,Y,3,40000,,,50,284,,방문,,충청북도 옥천군 옥천읍 동부로 39-1,,충청북도 옥천군,체육시설사업소,043-730-4975,www.oc.go.kr,36.30626654,127.5780108,2021-03-08,옥천군
옥천체육센터(탁구장),옥천체육센터,기타,없음,6:00,22:00,6:00,22:00,N,,"개인-무료,전용사용료시 사용료부과",,,50,287,탁구,방문,,충청북도 옥천군 옥천읍 관성로 53,,충청북도 옥천군,체육시설사업소,043-730-4864,,36.30307261,127.5758051,2021-03-08,옥천군
옥천생활체육관,옥천생활체육관,체육관,없음,5:00,22:00,5:00,22:00,N,,"개인-무료,전용사용료시 사용료부과",,,345,1654,,방문,,충청북도 옥천군 옥천읍 문정1길 37,,충청북도 옥천군,체육시설사업소,043-730-4864,,36.3040169,127.5750861,2021-03-08,옥천군
옥천공설운동장,옥천공설운동장,다목적경기장,없음,6:00,22:00,6:00,22:00,N,,"개인-무료,전용사용료시 사용료부과",,,1000,2086,,방문,,충청북도 옥천군 옥천읍 관성로 53,,충청북도 옥천군,체육시설사업소,043-730-4864,,36.30307261,127.5758051,2021-03-08,옥천군
공설전천후게이트볼장,공설전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,1223,,"방문,전화",,충청북도 옥천군 옥천읍 동부로 41,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.30585802,127.579001,2021-03-08,옥천군
동이전천후게이트볼장,동이전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,524,,"방문,전화",,충청북도 옥천군 동이면 평산4길 2,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.28356143,127.6202782,2021-03-08,옥천군
안남전천후게이트볼장,안남전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,544,,"방문,전화",,충청북도 옥천군 안남면 연주길 15,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.35840823,127.6755846,2021-03-08,옥천군
안내현리전천후게이트볼장,안내현리전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,339,,"방문,전화",,충청북도 옥천군 안내면 현리길 131,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.39164348,127.6554346,2021-03-08,옥천군
안내월외전천후게이트볼장,안내월외전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,451,,"방문,전화",,충청북도 옥천군 안내면 안내수한로 483-23,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.42745277,127.6419793,2021-03-08,옥천군
청성전천후게이트볼장,청성전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,498,,"방문,전화",,충청북도 옥천군 청성면 산계길 17,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.32448958,127.758891,2021-03-08,옥천군
청산전천후게이트볼장,청산전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,563,,"방문,전화",,충청북도 옥천군 청산면 지전길 32-19,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.34595029,127.7940415,2021-03-08,옥천군
이원전천후게이트볼장,이원전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,560,,"방문,전화",,충청북도 옥천군 이원면 묘목로 179-4,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.25073562,127.6156483,2021-03-08,옥천군
군서전천후게이트볼장,군서전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,498,,"방문,전화",,충청북도 옥천군 군서면 성왕로 494,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.27525728,127.5293017,2021-03-08,옥천군
군북전천후게이트볼장,군북전천후게이트볼장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,30,679,,"방문,전화",,충청북도 옥천군 군북면 이백길 23,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.32964418,127.5327521,2021-03-08,옥천군
중앙공원 소프트테니스장,중앙공원 소프트테니스장,테니스장,없음,9:00,22:00,9:00,22:00,N,,,,,30,4144,,"방문,전화",,충청북도 옥천군 옥천읍 서대공원길 33,,충청북도 옥천군,체육시설사업소,043-730-4882,,36.29490479,127.5727126,2021-03-08,옥천군
가화쌈지숲 생활체육시설,가화쌈지숲 생활체육시설,다목적경기장,없음,9:00,18:00,9:00,18:00,N,,,,,30,868,,"방문,전화",,,충청북도 옥천군 옥천읍 금구리 222-11,충청북도 옥천군,체육시설사업소,043-730-4882,,36.3057823,127.561364,2021-03-08,옥천군
서정리 야외씨름연습장,서정리 야외씨름연습장,기타,없음,9:00,18:00,9:00,18:00,N,,,,,20,621,,"방문,전화",,,충청북도 옥천군 옥천읍 서정리 33-8,충청북도 옥천군,체육시설사업소,043-730-4882,,36.313318,127.5582772,2021-03-08,옥천군
옥천 풋살장,옥천 풋살장,풋살경기장,없음,9:00,18:00,9:00,18:00,N,,,,,30,1840,,"방문,전화",,,충청북도 옥천군 옥천읍 문정리 산9-10,충청북도 옥천군,체육시설사업소,043-730-4882,,36.3067588,127.5777694,2021-03-08,옥천군
옥천 사회인 야구장,옥천 사회인 야구장,야구장,없음,9:00,18:00,9:00,18:00,N,,,,,50,9297,,"방문,전화",,,충청북도 옥천군 이원면 이원리 510-3,충청북도 옥천군,체육시설사업소,043-730-4882,,36.2460524,127.6279985,2021-03-08,옥천군
안남 다목적 구장,안남 다목적 구장,다목적경기장,없음,9:00,18:00,9:00,18:00,N,,,,,30,753,,"방문,전화",,,충청북도 옥천군 안남면 연주리 421-6,충청북도 옥천군,체육시설사업소,043-730-4882,,36.356584,127.6743408,2021-03-08,옥천군
관성회관야외공연장,관성회관,강당,법정공휴일,9:00,18:00,9:00,18:00,Y,5,"22,000",,,1000,891,문화시설,"방문, 전화",,충청북도 옥천군 옥천읍 관성로 35,,충청북도 옥천군청,문화관광과,043-730-3842,www.okcc.or.kr,36.3020666,127.5731259,2021-03-08,옥천군
관성회관문화교실,관성회관,회의실,법정공휴일,9:00,18:00,9:00,18:00,Y,0,"3,600",,0,50,49,문화시설,"방문, 전화",,충청북도 옥천군 옥천읍 관성로 29,,충청북도 옥천군청,문화관광과,043-730-3842,www.okcc.or.kr,36.30165025,127.5724903,2021-03-08,옥천군
관성회관대강당,관성회관,전시실,법정공휴일,9:00,18:00,9:00,18:00,Y,1,"15,000",,,499,90,문화시설,"방문, 전화",,충청북도 옥천군 옥천읍 관성로 35,,충청북도 옥천군청,문화관광과,043-730-3842,www.okcc.or.kr,36.3020666,127.5731259,2021-03-08,옥천군
관성회관대강당,관성회관,기타,법정공휴일,9:00,18:00,9:00,18:00,Y,5,"22,000",,,,8817,문화시설,"방문, 전화",,충청북도 옥천군 옥천읍 관성로 35,,충청북도 옥천군청,문화관광과,043-730-3842,www.okcc.or.kr,36.3020666,127.5731259,2021-03-08,옥천군
옥천문화예술회관,옥천문화예술회관,강당,법정공휴일,9:00,18:00,9:00,18:00,Y,5,"60,000",1,12000,478,2989.66,문화시설,"방문, 전화",,충청북도 옥천군 옥천읍 문정1길 32,,충청북도 옥천군청,문화관광과,043-730-4891,www.ocac.go.kr,36.3037552,127.5741223,2021-03-08,옥천군
정지용문학관,정지용문학관,전시실,"매주 월요일, 1월 1일, 설, 추석",9:00,18:00,9:00,18:00,N,,,,,,436.98,문화시설,,,충청북도 옥천군 옥천읍 향수길 56,,충청북도 옥천군청,문화관광과,043-730-3407,https://www.oc.go.kr/jiyong/index.do,36.31501588,127.5815719,2021-03-08,옥천군
정지용생가,정지용생가,기타,"매주 월요일, 1월 1일, 설, 추석",9:00,18:00,9:00,18:00,N,,,,,,73.26,문화시설,,,충청북도 옥천군 옥천읍 향수길 56,,충청북도 옥천군청,문화관광과,043-730-3407,https://www.oc.go.kr/jiyong/index.do,36.3150744,127.5815719,2021-03-08,옥천군
